品牌,型号,价格（元）,cpu型号,ram容量（gb）,rom容量（gb）,有线充电速度（w）,电池容量(mAh),屏幕刷新率(hz),屏幕分辨率(p),重量(g),前置（万像素）,后置（万像素）,屏幕尺寸（英寸）
oppo,OPPO K11（12GB/256GB）,2099,高通 骁龙782G,12,256,100,5000,120,1,184,1600,5000,6.7
oppo,OPPO K11（8GB/256GB）,1899,高通 骁龙782G,8,256,100,5000,120,1,184,1600,5000,6.7
oppo,OPPO Reno 10（8GB/256GB）,2499,高通 骁龙778G,8,256,80,4600,120,1,180,3200,6400,6.7
oppo,OPPO Reno 10 （12GB/256GB）,2799,高通 骁龙778G,12,256,80,4600,120,1,180,3200,6400,6.7
oppo,OPPO Reno 10 （12GB/512GB),2999,高通 骁龙778G,12,512,80,4600,120,1,180,3200,6400,6.7
oppo,OPPO Reno 10 Pro+（16GB/256GB）,3899,高通 骁龙8+ Gen1,16,256,100,4700,120,1,194,3200,5000,6.74
oppo,OPPO Reno 10 Pro+ （16GB/512GB）,4299,高通 骁龙8+ Gen1,12,512,100,4700,120,1,194,3200,5000,6.74
oppo,OPPO Reno 10 Pro（16GB/256GB）,3499,联发科 天玑8200,16,256,100,4600,120,1,186,3200,5000,6.74
oppo,OPPO Reno 10 Pro （16GB/512GB）,3899,联发科 天玑8200,16,512,100,4600,120,1,186,3200,5000,6.74
oppo,OPPO K11x（8GB/128GB）,1499,高通 骁龙695,8,128,67,5000,120,1,195,1600,10800,6.72
oppo,OPPO K11x（8GB/256GB）,1699,高通 骁龙695,8,256,67,5000,120,1,195,1600,10800,6.72
oppo,OPPO K11x（12GB/256GB）,1899,高通 骁龙695,12,256,67,5000,120,1,195,1600,10800,6.72
oppo,OPPO A1 5G（8GB/256GB）,1799,高通 骁龙695,8,256,67,5000,120,1,193,5000,暂无数据,6.72
oppo,OPPO A1x（6GB/128GB）,1399,联发科 天玑700,6,128,暂无数据,5000,90,1,186,800,1300,6.56
oppo,OPPO A56s（8GB/128GB）,1099,联发科 天玑810,8,128,10,5000,90,0.5,186,800,1300,6.56
oppo,OPPO A56s（8GB/256GB）,1299,联发科 天玑810,8,256,10,5000,90,0.5,186,800,1300,6.56
